"","n","mn_female","mn_eds_g8","orig_year","dest_year","orig_math_state","dest_math_state"
"1",253315,0.466478795,0.3741324,2008,2009,0,0
"2",250299,0.49694964,0.5390473,2009,2010,0,0
"3",3016,0.43600795,0.2092175,2009,2010,0,1
"4",185156,0.48965198,0.60070968,2010,2011,0,0
"5",72472,0.51517826,0.37555194,2010,2011,0,1
"6",3097,0.43493703,0.20536003,2010,2011,1,2
"7",214810,0.49066618,0.60366368,2011,2012,0,1
"8",4763,0.48939744,0.82490027,2011,2012,0,1.5
"9",73309,0.51872212,0.36704907,2011,2012,1,2
"10",4439,0.47826087,0.56003606,2011,2012,1,1
"11",1814,0.48787209,0.35997796,2011,2012,1,3
"12",3230,0.43560371,0.20340557,2011,2012,2,3
"13",1745,0.3765043,0.79369628,2012,2013,0,1
"14",187341,0.49534807,0.59047937,2012,2013,1,2
"15",10051,0.51557058,0.58531487,2012,2013,1,3
"16",8879,0.4798964,0.65063632,2012,2013,1,-1
"17",6543,0.36435884,0.7417087,2012,2013,1,1
"18",3244,0.43865597,0.74414301,2012,2013,1,1.5
"19",2717,0.44976076,0.82186234,2012,2013,1,NA
"20",3864,0.49430642,0.82815737,2012,2013,1.5,2
"21",70485,0.51901823,0.36409166,2012,2013,2,3
"22",1388,0.53025937,0.35806915,2012,2013,2,-1
"23",1130,0.44159293,0.71061945,2012,2013,2,2
"24",3303,0.43929762,0.23614895,2012,2013,3,4
"25",1119,0.5165326,0.38337803,2012,2013,3,2
"26",4693,0.37183037,0.72384405,2013,2014,1,2
"27",1705,0.39061582,0.77653956,2013,2014,1,-1
"28",2283,0.44108629,0.72010511,2013,2014,1.5,2
"29",1010,0.52574259,0.60000002,2013,2014,1.5,3
"30",143392,0.51277614,0.57621765,2013,2014,2,3
"31",24480,0.43864378,0.60539216,2013,2014,2,1.5
"32",10326,0.49331784,0.6538834,2013,2014,2,-1
"33",9876,0.39317536,0.71952206,2013,2014,2,2
"34",3338,0.41941282,0.79628521,2013,2014,2,NA
"35",2313,0.55339384,0.56506699,2013,2014,2,4
"36",62660,0.52128953,0.36549634,2013,2014,3,4
"37",5657,0.50468445,0.64822346,2013,2014,3,2
"38",3172,0.56841111,0.34709963,2013,2014,3,NA
"39",2928,0.52288252,0.43408471,2013,2014,3,-1
"40",2579,0.50213259,0.24777046,2013,2014,3,4.5
"41",1616,0.42883664,0.64294553,2013,2014,3,3
"42",1527,0.49901769,0.42763588,2013,2014,3,NA
"43",2081,0.47477174,0.30225852,2013,2014,4,5
"44",2624,0.4824695,0.61928356,2014,2015,-1,-1
"45",16568,0.46601883,0.59041524,2014,2015,1.5,3
"46",5828,0.40133837,0.61324638,2014,2015,1.5,-1
"47",1005,0.34328359,0.72039801,2014,2015,1.5,2
"48",7480,0.43649733,0.72005349,2014,2015,2,3
"49",5222,0.41727307,0.70413637,2014,2015,2,-1
"50",2798,0.51429594,0.67834169,2014,2015,2,4
"51",2190,0.3520548,0.69041097,2014,2015,2,1.5
"52",2165,0.32886836,0.74318707,2014,2015,2,2
"53",1548,0.34948319,0.78746772,2014,2015,2,NA
"54",69072,0.52788395,0.5678857,2014,2015,3,4
"55",23073,0.53473759,0.50413907,2014,2015,3,NA
"56",21091,0.49660993,0.64112657,2014,2015,3,-1
"57",18078,0.49706826,0.56322604,2014,2015,3,NA
"58",7249,0.42198923,0.70533866,2014,2015,3,3
"59",2961,0.59540695,0.41675109,2014,2015,3,4.5
"60",2144,0.39832088,0.79151118,2014,2015,3,NA
"61",1878,0.4052183,0.64589989,2014,2015,3,1.5
"62",1569,0.39069471,0.76545572,2014,2015,3,2
"63",1925,0.59324676,0.41194806,2014,2015,NA,-1
"64",1018,0.51964635,0.40078586,2014,2015,NA,4
"65",21885,0.48832533,0.34864062,2014,2015,4,5
"66",18687,0.5571788,0.45625302,2014,2015,4,-1
"67",8361,0.58330345,0.29374477,2014,2015,4,4.5
"68",7004,0.55682468,0.3172473,2014,2015,4,NA
"69",4524,0.41180372,0.19076039,2014,2015,4,6
"70",2719,0.51452738,0.44244206,2014,2015,4,NA
"71",1781,0.46209994,0.60752386,2014,2015,4,4
"72",1171,0.49103332,0.25533733,2014,2015,4.5,5
"73",1274,0.4309262,0.31083202,2014,2015,5,6
"74",1745,0.3765043,0.79369628,2011,2012,0,0
